experiment_name, get_data, data2dev, zero_grad, forward, backprop, sync, optimizer_step, batch, batch_count, data_len
ourdist, 3877.394287109375, 43.341064453125, 1.003173828125, 489.937255859375, 239.32421875, 1009.8984375, 16.5400390625, 5677.66552734375, 0, 128
ourdist, 10.917724609375, 187.299072265625, 112.338134765625, 220.34912109375, 163.2080078125, 778.41552734375, 12.351806640625, 1485.05859375, 1, 128
ourdist, 1993.099853515625, 105.590576171875, 6.567138671875, 83.695556640625, 187.28173828125, 1073.394287109375, 12.25244140625, 3462.197265625, 2, 128
ourdist, 25.595703125, 232.680908203125, 6.4033203125, 132.998291015625, 145.34912109375, 800.441650390625, 12.573486328125, 1356.2958984375, 3, 128
ourdist, 2200.22998046875, 91.416748046875, 6.4453125, 117.2421875, 148.99365234375, 1398.361572265625, 12.343994140625, 3975.222412109375, 4, 128
ourdist, 18.62890625, 237.12890625, 6.53369140625, 38.67041015625, 143.133056640625, 789.428955078125, 12.3125, 1327.182861328125, 5, 128
ourdist, 2068.458251953125, 136.34423828125, 6.716064453125, 57.840576171875, 154.791015625, 1190.59130859375, 12.53369140625, 3627.4560546875, 6, 128
ourdist, 16.7744140625, 246.990234375, 6.3955078125, 110.191650390625, 199.24365234375, 818.884765625, 12.498291015625, 1411.16943359375, 7, 128
ourdist, 2156.3173828125, 140.270263671875, 6.731201171875, 134.5146484375, 73.898681640625, 1336.823486328125, 12.28173828125, 3861.0234375, 8, 128
ourdist, 25.55908203125, 272.334716796875, 6.50830078125, 74.099609375, 158.76708984375, 778.86083984375, 12.199951171875, 1328.575439453125, 9, 128
ourdist, 2077.76953125, 95.348876953125, 93.424072265625, 117.16259765625, 111.185302734375, 1321.212890625, 16.252197265625, 3832.560302734375, 10, 128
ourdist, 10.873779296875, 134.324951171875, 147.749267578125, 72.90478515625, 149.399658203125, 748.031494140625, 12.34033203125, 1275.79345703125, 11, 128
ourdist, 2087.613525390625, 114.292724609375, 49.472412109375, 67.623291015625, 102.043701171875, 1436.033447265625, 12.349609375, 3884.732177734375, 12, 128
ourdist, 39.425048828125, 245.897216796875, 7.4873046875, 202.6376953125, 77.06005859375, 778.991943359375, 12.34619140625, 1364.090087890625, 13, 128
ourdist, 1968.3828125, 155.764892578125, 6.527099609375, 149.068115234375, 107.576416015625, 1691.41552734375, 12.62841796875, 4091.55029296875, 14, 128
ourdist, 23.428466796875, 190.919677734375, 6.4033203125, 213.08154296875, 93.56689453125, 777.9990234375, 12.268798828125, 1317.85009765625, 15, 128
ourdist, 1634.951171875, 150.6201171875, 38.689697265625, 126.639404296875, 72.652099609375, 1781.44775390625, 12.308837890625, 3817.5107421875, 16, 128
ourdist, 41.770751953125, 237.614501953125, 37.309326171875, 66.41796875, 224.778564453125, 673.211181640625, 12.79052734375, 1294.065185546875, 17, 128
ourdist, 1649.109375, 65.736572265625, 108.296630859375, 35.467529296875, 196.057373046875, 1817.29638671875, 12.4228515625, 3884.575927734375, 18, 128
ourdist, 61.56201171875, 147.65283203125, 121.09375, 82.169921875, 193.636474609375, 709.870849609375, 12.314453125, 1328.479736328125, 19, 128
ourdist, 1495.510986328125, 154.83349609375, 6.4287109375, 90.428955078125, 136.522216796875, 1975.987060546875, 12.32373046875, 3872.2275390625, 20, 128
ourdist, 20.811279296875, 268.757568359375, 6.63720703125, 87.79296875, 247.671630859375, 754.56982421875, 12.43115234375, 1398.9150390625, 21, 128
ourdist, 1379.6220703125, 94.244873046875, 19.01953125, 119.545654296875, 143.23779296875, 2027.423583984375, 12.33154296875, 3795.617431640625, 22, 128
ourdist, 17.455810546875, 205.835693359375, 104.115478515625, 60.8134765625, 169.97607421875, 766.44482421875, 12.26513671875, 1337.083740234375, 23, 128
ourdist, 1442.999267578125, 63.18408203125, 102.15185546875, 71.384521484375, 187.865478515625, 2075.484375, 12.35302734375, 3955.627197265625, 24, 128
ourdist, 26.46044921875, 244.194091796875, 6.411376953125, 101.999267578125, 285.1845703125, 566.41943359375, 12.25146484375, 1243.096923828125, 25, 128
ourdist, 1340.352783203125, 130.70263671875, 6.509521484375, 144.53759765625, 119.96875, 2070.751220703125, 12.375, 3825.385498046875, 26, 128
ourdist, 23.141357421875, 151.149658203125, 145.091064453125, 100.88818359375, 122.468505859375, 767.55859375, 12.42236328125, 1322.964111328125, 27, 128
ourdist, 1192.2578125, 67.9541015625, 115.44091796875, 27.998779296875, 271.603759765625, 2094.54931640625, 12.267578125, 3782.252685546875, 28, 128
ourdist, 18.828125, 161.067138671875, 160.40185546875, 65.479736328125, 267.276611328125, 790.067626953125, 12.272705078125, 1475.576904296875, 29, 128
