experiment_name, get_data, data2dev, zero_grad, forward, backprop, sync, optimizer_step, batch, batch_count, data_len
warmup, 206.70654296875, 0.017333984375, 0.71435546875, 824.678466796875, 3.807373046875, 0.0029296875, 0.72119140625, 1036.780029296875, 0, 8
warmup, 0.479736328125, 0.0146484375, 0.670654296875, 0.163818359375, 0.095947265625, 0.002197265625, 0.7314453125, 2.212646484375, 1, 8
warmup, 3.542236328125, 0.010986328125, 0.656982421875, 0.112060546875, 0.080322265625, 0.001708984375, 0.67578125, 5.13671875, 2, 8
warmup, 0.330078125, 0.00927734375, 0.64892578125, 0.100830078125, 0.0712890625, 0.00146484375, 0.658447265625, 1.8662109375, 3, 8
warmup, 8.334716796875, 0.010009765625, 0.657470703125, 0.103515625, 0.072021484375, 0.001220703125, 0.65185546875, 9.89453125, 4, 8
warmup, 77.4130859375, 0.0146484375, 0.7158203125, 0.146484375, 0.104736328125, 0.001708984375, 0.686767578125, 79.15185546875, 5, 8
warmup, 124.06298828125, 0.014892578125, 0.727294921875, 0.15185546875, 0.114013671875, 0.002685546875, 0.706787109375, 125.848388671875, 6, 8
warmup, 8.37060546875, 0.01171875, 0.720703125, 0.126953125, 0.087158203125, 0.001953125, 0.683837890625, 10.060791015625, 7, 8
warmup, 90.17431640625, 0.014892578125, 0.719970703125, 0.1552734375, 0.113525390625, 0.002685546875, 0.6923828125, 91.945556640625, 8, 8
warmup, 40.088623046875, 0.013916015625, 0.68505859375, 0.146728515625, 0.10400390625, 0.002197265625, 0.67578125, 41.783447265625, 9, 8
warmup, 113.0537109375, 0.014404296875, 0.6845703125, 0.159423828125, 0.11474609375, 0.001953125, 0.703857421875, 114.803955078125, 10, 8
warmup, 31.759765625, 0.01318359375, 0.688720703125, 0.150390625, 0.10986328125, 0.001708984375, 0.696044921875, 33.48388671875, 11, 8
warmup, 121.6640625, 0.0146484375, 0.701904296875, 0.15966796875, 0.114990234375, 0.002197265625, 0.70458984375, 123.433349609375, 12, 8
warmup, 0.33740234375, 0.010986328125, 0.66162109375, 0.11767578125, 0.077392578125, 0.00146484375, 0.663330078125, 1.91552734375, 13, 8
warmup, 83.82568359375, 0.014892578125, 0.696533203125, 0.151611328125, 0.108642578125, 0.001708984375, 0.70068359375, 85.568115234375, 14, 8
warmup, 6.361328125, 0.01171875, 0.701904296875, 0.1240234375, 0.079345703125, 0.001953125, 0.681396484375, 8.02197265625, 15, 8
warmup, 134.43994140625, 0.014892578125, 0.7001953125, 0.16162109375, 0.126953125, 0.003173828125, 0.713134765625, 136.230224609375, 16, 8
warmup, 0.344482421875, 0.01171875, 0.65625, 0.12744140625, 0.07958984375, 0.00146484375, 0.660888671875, 1.928955078125, 17, 8
warmup, 156.09716796875, 0.01513671875, 0.74609375, 0.169189453125, 0.119384765625, 0.001953125, 0.69921875, 157.9208984375, 18, 8
warmup, 0.345947265625, 0.0107421875, 0.666259765625, 0.12451171875, 0.078857421875, 0.00146484375, 0.66796875, 1.94384765625, 19, 8
warmup, 149.714599609375, 0.014892578125, 0.721435546875, 0.16259765625, 0.119873046875, 0.00244140625, 0.69677734375, 151.50537109375, 20, 8
warmup, 0.3369140625, 0.0107421875, 0.659423828125, 0.12646484375, 0.083251953125, 0.001220703125, 0.67724609375, 1.943603515625, 21, 8
warmup, 94.927734375, 0.014892578125, 0.6904296875, 0.155517578125, 0.118896484375, 0.002197265625, 0.67919921875, 96.6552734375, 22, 8
warmup, 0.338134765625, 0.01123046875, 0.65771484375, 0.120849609375, 0.08544921875, 0.00146484375, 0.657958984375, 1.919921875, 23, 8
