experiment_name, get_data, data2dev, zero_grad, forward, backprop, sync, optimizer_step, batch, batch_count, data_len
warmup, 188.38232421875, 0.0166015625, 0.75634765625, 784.7802734375, 7.628173828125, 0.0029296875, 0.76220703125, 982.4560546875, 0, 8
warmup, 6.182861328125, 0.015869140625, 0.686767578125, 0.168212890625, 0.102783203125, 0.001708984375, 0.6943359375, 7.913330078125, 1, 8
warmup, 134.935791015625, 0.01220703125, 0.715087890625, 0.119873046875, 0.084716796875, 0.001953125, 0.661865234375, 136.59228515625, 2, 8
warmup, 0.324951171875, 0.010009765625, 0.640625, 0.1083984375, 0.072998046875, 0.001708984375, 0.666015625, 1.8701171875, 3, 8
warmup, 543.38525390625, 0.015869140625, 0.711181640625, 0.162109375, 0.11767578125, 0.002685546875, 0.69140625, 545.157958984375, 4, 8
warmup, 0.334228515625, 0.009765625, 0.65283203125, 0.116455078125, 0.074951171875, 0.001220703125, 0.6552734375, 1.9013671875, 5, 8
warmup, 472.789794921875, 0.014404296875, 0.72119140625, 0.162109375, 0.10888671875, 0.002197265625, 0.6689453125, 474.534912109375, 6, 8
warmup, 337.089599609375, 0.01416015625, 0.70556640625, 0.154541015625, 0.116943359375, 0.00244140625, 0.66162109375, 338.809814453125, 7, 8
warmup, 154.74658203125, 0.01318359375, 0.688720703125, 0.150634765625, 0.1083984375, 0.00244140625, 0.693359375, 156.46923828125, 8, 8
warmup, 319.447265625, 0.014892578125, 0.688720703125, 0.16357421875, 0.115234375, 0.001953125, 0.6904296875, 321.191650390625, 9, 8
warmup, 19.20703125, 0.012451171875, 0.685302734375, 0.139892578125, 0.09228515625, 0.001953125, 0.685302734375, 20.884765625, 10, 8
warmup, 687.787841796875, 0.015380859375, 0.69921875, 0.16650390625, 0.115234375, 0.0029296875, 0.6689453125, 689.524169921875, 11, 8
warmup, 0.35205078125, 0.010986328125, 0.649169921875, 0.13134765625, 0.079345703125, 0.001220703125, 0.658447265625, 1.927978515625, 12, 8
warmup, 373.3349609375, 0.01513671875, 0.69140625, 0.171630859375, 0.108642578125, 0.001708984375, 0.67919921875, 375.07275390625, 13, 8
warmup, 104.846435546875, 0.015869140625, 0.70703125, 0.1533203125, 0.107421875, 0.00244140625, 0.6904296875, 106.5869140625, 14, 8
warmup, 401.642822265625, 0.013671875, 0.6845703125, 0.155517578125, 0.108154296875, 0.002197265625, 0.69140625, 403.36572265625, 15, 8
warmup, 174.704345703125, 0.013427734375, 0.6748046875, 0.14892578125, 0.1064453125, 0.002197265625, 0.686767578125, 176.401611328125, 16, 8
warmup, 112.6826171875, 0.021240234375, 0.67724609375, 0.15283203125, 0.10693359375, 0.001953125, 0.679931640625, 114.39111328125, 17, 8
warmup, 273.20751953125, 0.016845703125, 0.711181640625, 0.164794921875, 0.116943359375, 0.00244140625, 0.751220703125, 275.041259765625, 18, 8
warmup, 0.34326171875, 0.011474609375, 0.656494140625, 0.117919921875, 0.07470703125, 0.001220703125, 0.667724609375, 1.920166015625, 19, 8
warmup, 277.657470703125, 0.01611328125, 0.70849609375, 0.16259765625, 0.119140625, 0.0029296875, 0.746826171875, 279.48876953125, 20, 8
warmup, 0.33447265625, 0.01123046875, 0.663818359375, 0.12744140625, 0.0791015625, 0.00146484375, 0.689453125, 1.953125, 21, 8
warmup, 82.082275390625, 0.014892578125, 0.69970703125, 0.1611328125, 0.112060546875, 0.002197265625, 0.697265625, 83.837646484375, 22, 8
warmup, 282.72998046875, 0.01318359375, 0.70458984375, 0.140869140625, 0.099609375, 0.002197265625, 0.6845703125, 284.4404296875, 23, 8
warmup, 89.346923828125, 0.015625, 0.706787109375, 0.156005859375, 0.11572265625, 0.002685546875, 0.7099609375, 91.122802734375, 24, 8
warmup, 46.61279296875, 0.01513671875, 0.69091796875, 0.156982421875, 0.11083984375, 0.002685546875, 0.6923828125, 48.34716796875, 25, 8
warmup, 42.020263671875, 0.013916015625, 0.681640625, 0.151123046875, 0.107177734375, 0.00244140625, 0.68896484375, 43.72900390625, 26, 8
warmup, 223.578857421875, 0.015625, 0.704833984375, 0.164794921875, 0.119873046875, 0.003173828125, 0.745361328125, 225.4091796875, 27, 8
warmup, 0.335205078125, 0.009765625, 0.660888671875, 0.1220703125, 0.076904296875, 0.001708984375, 0.6708984375, 1.931640625, 28, 8
warmup, 157.523193359375, 0.016357421875, 0.722412109375, 0.161376953125, 0.1142578125, 0.001953125, 0.691650390625, 159.30029296875, 29, 8
warmup, 63.40478515625, 0.01123046875, 0.71044921875, 0.13232421875, 0.0849609375, 0.001953125, 0.680908203125, 65.087646484375, 30, 8
warmup, 290.154541015625, 0.014892578125, 0.753173828125, 0.166259765625, 0.11865234375, 0.003173828125, 0.724365234375, 292.005615234375, 31, 8
warmup, 0.326416015625, 0.009765625, 0.647216796875, 0.117919921875, 0.076416015625, 0.00146484375, 0.68408203125, 1.910888671875, 32, 8
warmup, 105.9111328125, 0.0146484375, 0.710693359375, 0.15771484375, 0.112548828125, 0.002685546875, 0.673583984375, 107.66259765625, 33, 8
warmup, 0.326171875, 0.01025390625, 0.64697265625, 0.11474609375, 0.0751953125, 0.001708984375, 0.65234375, 1.873046875, 34, 8
warmup, 332.36669921875, 0.015380859375, 0.73193359375, 0.163330078125, 0.117431640625, 0.003173828125, 0.756591796875, 334.227294921875, 35, 8
warmup, 0.334716796875, 0.010498046875, 0.65185546875, 0.117919921875, 0.075927734375, 0.001220703125, 0.656494140625, 1.89501953125, 36, 8
warmup, 184.8388671875, 0.01513671875, 0.718505859375, 0.158203125, 0.11328125, 0.00244140625, 0.7421875, 186.659912109375, 37, 8
warmup, 0.344482421875, 0.010498046875, 0.6533203125, 0.119873046875, 0.076904296875, 0.00146484375, 0.67578125, 1.927734375, 38, 8
warmup, 129.59912109375, 0.01318359375, 0.71826171875, 0.139404296875, 0.09814453125, 0.002685546875, 0.665771484375, 131.30078125, 39, 8
warmup, 314.802734375, 0.0166015625, 0.73583984375, 0.164306640625, 0.11962890625, 0.002197265625, 0.690185546875, 316.601318359375, 40, 8
warmup, 0.337890625, 0.011962890625, 0.673095703125, 0.118408203125, 0.081298828125, 0.001708984375, 0.6796875, 1.951416015625, 41, 8
warmup, 183.97705078125, 0.0146484375, 0.70361328125, 0.16015625, 0.11767578125, 0.002197265625, 0.687744140625, 185.73388671875, 42, 8
warmup, 0.330078125, 0.010009765625, 0.6650390625, 0.115234375, 0.077392578125, 0.001220703125, 0.685546875, 1.93115234375, 43, 8
warmup, 143.35498046875, 0.014404296875, 0.71142578125, 0.1630859375, 0.117431640625, 0.00244140625, 0.703125, 145.137451171875, 44, 8
warmup, 0.342529296875, 0.010986328125, 0.66943359375, 0.12353515625, 0.079833984375, 0.001220703125, 0.667724609375, 1.94482421875, 45, 8
warmup, 167.92333984375, 0.0146484375, 0.705078125, 0.162109375, 0.1181640625, 0.00244140625, 0.70703125, 169.705322265625, 46, 8
warmup, 0.334228515625, 0.0107421875, 0.66650390625, 0.12158203125, 0.079345703125, 0.001708984375, 0.667236328125, 1.929443359375, 47, 8
warmup, 79.52734375, 0.01416015625, 0.70068359375, 0.149658203125, 0.10595703125, 0.001953125, 0.691650390625, 81.257568359375, 48, 8
warmup, 0.33349609375, 0.010009765625, 0.65771484375, 0.114990234375, 0.07421875, 0.00146484375, 0.660400390625, 1.897216796875, 49, 8
warmup, 96.951171875, 0.01513671875, 0.699951171875, 0.163818359375, 0.111328125, 0.002685546875, 0.703369140625, 98.7138671875, 50, 8
warmup, 0.33984375, 0.0107421875, 0.673095703125, 0.127685546875, 0.077392578125, 0.00146484375, 0.673828125, 1.951171875, 51, 8
warmup, 79.3095703125, 0.01416015625, 0.67822265625, 0.153076171875, 0.09765625, 0.00244140625, 0.71240234375, 81.03271484375, 52, 8
warmup, 99.23388671875, 0.015869140625, 0.689453125, 0.16162109375, 0.11083984375, 0.00244140625, 0.6943359375, 100.978271484375, 53, 8
warmup, 41.733154296875, 0.01416015625, 0.70947265625, 0.15380859375, 0.110107421875, 0.002197265625, 0.703369140625, 43.4921875, 54, 8
warmup, 53.331298828125, 0.01513671875, 0.6953125, 0.153564453125, 0.107177734375, 0.002685546875, 0.693359375, 55.063232421875, 55, 8
warmup, 109.352294921875, 0.013916015625, 0.6904296875, 0.152099609375, 0.109619140625, 0.002685546875, 0.671875, 111.058837890625, 56, 8
warmup, 65.71044921875, 0.01611328125, 0.7060546875, 0.155517578125, 0.11083984375, 0.002685546875, 0.6865234375, 67.454345703125, 57, 8
warmup, 54.772705078125, 0.014892578125, 0.69970703125, 0.15234375, 0.107666015625, 0.001708984375, 0.68310546875, 56.497314453125, 58, 8
warmup, 239.28515625, 0.01611328125, 0.728759765625, 0.16455078125, 0.118408203125, 0.002197265625, 0.697509765625, 241.086669921875, 59, 8
warmup, 0.3427734375, 0.010986328125, 0.6591796875, 0.122802734375, 0.079345703125, 0.001708984375, 0.67138671875, 1.934326171875, 60, 8
